land_element,tsc_criteria,tsc_landform
slope of dunes,"26,25,11,40","slope-gentle-steep,slope-lower-slope,ridge-dune,depression-swale"
occurs on top of slope,23,slope-upper-slope
steep slope - granite/quartzite upland,"1,26","crest-hill-crest,slope-gentle-steep"
gentle slope - lateritic upland,"1,26","crest-hill-crest,slope-gentle-steep"
flat - gentle slope - quartzite upland,"1,29,26","crest-hill-crest,slope-gentle-steep,flat"
Mid slope to lower slope,"24,23","slope-lower-slope,slope-mid-slope"
Wet flat. Valley floor - lake edge.,"31,34","flat-valley-flat,flat-floodplain"
Upper slope to middle slope,"24,23","slope-upper-slope,slope-mid-slope"
Mid slope to upper slope,"24,23","slope-upper-slope,slope-mid-slope"
Wet flat. Valley floor.,"31,34","flat-valley-flat,flat-floodplain"
Wet flat.  Valley floor (Palaya system),"31,34","flat-valley-flat,flat-floodplain"
Mid slope to mid valley slope,24,slope-mid-slope
Lower slope to valley floor,"31,25","slope-lower-slope,flat-valley-flat"
Upper middle slope,"24,23","slope-upper-slope,slope-mid-slope"
mafic and ultra-mafic greenstone ridges,9,ridge
Coastal Dune,"11,40","ridge-dune,depression-swale"
Pinjarra Plain,30,flat-plain
Mapped as Pinjarra Plain - but Ridge Hill Shelf?,30,flat-plain
Guilford soil and landform,,
Seasonally inundated wet flat,34,flat-floodplain
Flat.,29,flat
"occurs on lower slopes and valleys, down slope from granite hills and outcrops and upslope of wetland units","31,25","slope-lower-slope,flat-valley-flat"
flat wetland,59,wetland
Swan and Guildford soil and landform units,,
Dark grey sand with clay fines,,
base of small dune,"11,40","ridge-dune,depression-swale"
clay pan,33,flat-claypan
"Plateau, hill slope","21,4","crest-mesa,slope-hillslope"
Hill slope,21,slope-hillslope
"Upper catchment of Bungaroo Creek, a tributary of the Robe River which is incised into Hamersley Ranges, Hamersley Basin, Pilbara Craton (Bennelongia 2013)",,
Coastal sand dune,"11,40","ridge-dune,depression-swale"
Spearwood Dune,"11,40","ridge-dune,depression-swale"
aeolian deposits,,
"Limestone ridge, mined and naturally rehabiitated",9,ridge
Saline lake,53,depression-lake
estuarine,46,depression-estuary
"Gentle slope, Ridge hill shelf","9,26","slope-gentle-steep,ridge"
edge pof ridge hill shelf - gentle slope,"9,26","slope-gentle-steep,ridge"
flat/crest,"29,5","flat,crest"
Irwin River estuary,46,depression-estuary
estuary edge,46,depression-estuary
Gilgai micro relief,59,wetland
Gilgai microrelief,59,wetland
gilgai microrelief,59,wetland
Crest/hill,1,creat-hill-crest
river edges,42,depression-riverbank
Edges of Swan River,42,depression-riverbank
Dunes,"11,40","ridge-dune,depression-swale"
Vasse-wonerup Estuary,46,depression-estuary
lake dune,"11,40,53","ridge-dune,depression-swale,depression-lake"
Dune adjacent to lake,"11,40,53","ridge-dune,depression-swale,depression-lake"
Ravensthorpe Range,,
Wetland system centred on springs and vegetation associated with open water. Melaleuca alsophila fringing wetlands.,,
Roebourne Plains,30,flat-plain
river floodplain,34,flat-floodplain
Coastal,,
Southern River,,
coastal sand dune and dune swales. Behind primary coastal dune.,"11,40","ridge-dune,depression-swale"
Estaurine silt flats,46,depression-estuary
Estuarine deposits,46,depression-estuary
river flats,34,flat-floodplain
Mound springs and moat,59,wetland
river bank,42,depression-riverbank
Quindalup dunes,"11,40","ridge-dune,depression-swale"
undulating low lying drainage lines in between granite rises,45,depression-trough
old dunes and drainage lines,"11,40,45","ridge-dune,depression-swale,depression-trough"
flat drainage line ironstone,45,depression-trough
Coast dune,"11,40","ridge-dune,depression-swale"
Brockman land System. Alluvial Plains with tussock grasslands,34,flat-floodplain
Brockman Land System. Alluvial plains with tussock grasslands,34,flat-floodplain
coastal sand dunes/ Pindan woodland,"11,40","ridge-dune,depression-swale"
Eastern dune,"11,40","ridge-dune,depression-swale"
Bassendean dunes,"11,40","ridge-dune,depression-swale"
"Intergrade of Bassendean and Southern River.  Dampland, very gentle east slope, low",34,flat-floodplain
"mound spring, raised peaty soak or wetland. Bouncy to stand on!",59,wetland
small dune,"11,40","ridge-dune,depression-swale"
old dune,"11,40","ridge-dune,depression-swale"
Lowland Banksia woodland,,
mounds & tidals flats. Permanent freshwater spring lies within open coastal grassland plain.,30,flat-plain
"Lake Preston linear, interdunal, saline lake forming part of Clifton-Preston lakeland system. Pamelup Pond is a small squarish lake with sides approx 200m long west shore of Lake Preston, about 6.5 north of Myalup. Pond occupies a small hollow in a dunal spur projecting into the lake. (Grey and Moore undated).",,
Flat plain surrounded by roads.,30,flat-plain
Hamersley Range,,
Near coastal dunes,"11,40","ridge-dune,depression-swale"
Gorge,38,depression-gorge
Mesa,4,crest-mesa
Ridge hill shelf,9,ridge
Sandy flat and dune to crest,"11,40,2","ridge-dune,depression-swale,crest-dune-crest"
"Bordering northern edge of Cockatoo Land System/ Mound Spring located on Carpentaria Land System. Coastal flats, associated sandy margins and dunes; saline sands and muds; paperbark thickets, samphire meadows, extensive bare mud flats with fringing mangrove forests.","11,40,34","ridge-dune,depression-swale,flat-floodplain,"
Raised peat mound above coastal tidal flat.,46,depression-estuary
mounds & tidals flats. Permanent freshwater spring lies within open coastal grassland plain to the west and sandy red soil plain east and south.,30,flat-plain
claypan in wetland suite,59,wetland
"Gorge, open depresion",38,depression-gorge
Aeolian dunes. Spearwood  land system,"11,40","ridge-dune,depression-swale"
slope to river,42,depression-riverbank
Mound springs / wetlands,59,wetland
Coolibah Land System,,
Unit 5 internal drainage plains of the Wannamunna Land System,34,flat-floodplain
"Igneous rocks of the Gidley Granophyre and associated gabbro and dolerite intrude the Fortescue formations, the granophyre
forming the major part of the Burrup Peninsula.",,
coastal dune,"11,40","ridge-dune,depression-swale"
Mound spring/wetland,59,wetland
drainage lines slopes and hills,"6,45","depression-trough,hill"
BIF,,
coastal dunes,"11,40","ridge-dune,depression-swale"
flat outcrop,18,outcrop-flat
Low flat,29,flat
"flat, probably claypan",29,flat
upland vegetation of seasonal wetland.,"1,59","crest-hill-crest,wetland"
Bassendean Dune System,"11,40","ridge-dune,depression-swale"
